eta,paso,particula_id,x,y,theta
1.692105,800,31,2.684472,15.719079,0.449673
1.692105,800,32,8.684233,16.126633,1.328937
1.692105,800,33,0.726303,18.304411,1.517437
1.692105,800,34,1.275019,7.446864,1.382002
1.692105,800,35,9.452525,16.865656,1.691638
1.692105,800,36,4.032745,1.801965,0.86117
1.692105,800,37,9.522938,9.355701,1.689397
1.692105,800,38,16.355275,13.4221,0.075619
1.692105,800,39,19.192939,16.971859,1.68505
1.692105,800,40,16.699789,5.767448,0.593982
1.692105,800,41,9.590473,10.394322,1.414015
1.692105,800,42,2.698027,15.627946,0.224001
1.692105,800,43,2.347473,8.318322,1.197703
1.692105,800,44,12.744559,17.854163,0.789625
1.692105,800,45,13.038049,17.983511,0.527091
1.692105,800,46,5.512293,9.727599,0.36173
1.692105,800,47,5.091065,19.225661,1.417803
1.692105,800,48,4.905747,12.621445,1.462088
1.692105,800,49,2.308397,14.420915,0.155717
1.692105,800,50,2.056198,17.909688,0.481463
1.692105,800,51,14.715889,16.931371,1.725848
1.692105,800,52,10.977777,15.248588,0.756644
1.692105,800,53,13.278616,6.554997,1.541002
1.692105,800,54,0.297005,9.933941,1.743227
1.692105,800,55,15.276057,8.422254,0.599636
1.692105,800,56,8.306605,0.20993,0.856809
1.692105,800,57,19.386318,4.090229,1.318878
1.692105,800,58,0.509169,2.145098,0.604786
1.692105,800,59,13.859956,8.64574,0.206826
1.692105,800,60,9.791145,13.469035,1.619813
1.692105,800,61,12.2751,13.451478,1.489028
1.692105,800,62,16.738353,1.097372,1.431045
1.692105,800,63,6.687643,10.080057,0.580011
1.692105,800,64,19.557789,13.710669,1.48166
1.692105,800,65,0.106881,2.07647,0.691422
1.692105,800,66,7.743953,5.786192,0.071881
1.692105,800,67,15.739211,5.056697,0.688094
1.692105,800,68,16.712644,13.762769,1.287095
1.692105,800,69,8.250161,15.136462,1.440661
1.692105,800,70,3.938127,2.269842,1.226559
1.692105,800,71,13.627674,3.236791,1.158817
1.692105,800,72,4.316607,5.964587,0.526535
1.692105,800,73,0.523001,18.249664,0.34003
1.692105,800,74,8.602304,1.411553,0.561884
1.692105,800,75,11.533401,17.582212,0.079103
1.692105,800,76,13.984224,9.643146,0.738095
